वृद्धिरादैच्,वृद्धिःआदैच्
प्रकृत्यैकाच्,प्रकृत्याएकाच्
इनण्यनपत्ये,इन्अणिअनपत्ये
गाथिविदथिकेशिगणिपणिनश्च,गाथिविदथिकेशिगणिपणिनःच
संयोगादिश्च,संयोगादिःच
ये चाभावकर्मणोः,येचअभावकर्मणोः
न मपूर्वोऽपत्येऽवर्मणः,नमपूर्वःअपत्येअवर्मणः
ब्राह्मोअजातौ,ब्राह्मःअजातौ
कार्मस्ताच्छील्ये,कार्म्मःताच्छील्ये
औक्षमनपत्ये,औक्षम्अनपत्ये
ऋत्व्यवास्त्व्यवास्त्वमाध्वीहिरण्ययानि च्छन्दसि,ऋत्व्यवास्त्व्यवास्त्वमाध्वीहिरण्ययानिछन्दसि
युवोरनाकौ,युवोःअनाकौ
आयनेयीनीयियः फढखच्छघां प्रत्ययादीनाम्‌,आयनेयीनीयियःफढखछघाम्प्रत्ययादीनाम्
झोऽन्तः,झःअन्तः
अदभ्यस्तात्‌,अत्अभ्यस्तात्
आत्मनेपदेष्वनतः,आत्मनेपदेषुअनतः
शीङो रुट्,शीङःरुट्
वेत्तेर्विभाषा,वेत्तेःविभाषा
बहुलं छन्दसि,बहुलम्छन्दसि
अतो भिस ऐस्,अतःभिसऐस्
बहुलं छन्दसि,बहुलम्छन्दसि
नेदमदसोरकोः,नइदमदसोःअकोः
टाङसिङसामिनात्स्याः,टाङसिङसाम्इनात्स्याः
ङेर्यः,ङेःयः
पूर्वादिभ्यो नवभ्यो वा,पूर्वादिभ्यःनवभ्यःवा
औङ आपः,औङःआपः
नपुंसकाच्च,नपुंसकात्च
अष्टाभ्य औश्,अष्टाभ्यःऔश्
षड्भ्यो लुक्,षड्‍भ्यःलुक्
स्वमोर्नपुंसकात्‌,स्वमोःनपुंसकात्
